,product_id,name,price,quantity,category,description,expiration_date,rating,status
1,2,Малина,9551,495,Фрукты,"Отличается высоким содержанием тиамина, необходимого для нормального функционирования нервной системы.",2017-09-01,3.34,Out of Stock
2,3,Чечевица,7675,576,Овощи,Помогает поддерживать нормальный уровень электролитов в организме.,2022-03-01,4.33,Out of Stock
3,4,Камамбер,293,298,Молочные продукты,"Помогает поддерживать нормальный уровень даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",2027-03-14,4.53,Available for Pickup
4,5,Конопляные семена,2689,591,Бакалея,Помогает поддерживать мышечную массу и улучшает спортивные результаты.,2027-05-10,1.98,Sold
5,6,Фольга алюминиевая,6497,986,Товары для дома,"Помогает поддерживать нормальный уровень кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2026-07-02,2.98,Backorder
6,7,Яблоко,3168,183,Фрукты,"Помогает поддерживать нормальный уровень тиреоидных гормонов, регулирующих обмен веществ.",2030-01-02,2.78,In Stock
7,8,Груша,5381,304,Фрукты,"Помогает поддерживать нормальный уровень цистеина, аминокислоты, участвующей в синтезе глутатиона.",2027-03-13,4.86,Backorder
8,9,Простокваша,331,460,Молочные продукты,"Может использоваться как основа для приготовления домашних йогуртов, сыров и других молочных продуктов.",2024-03-01,2.93,Awaiting Payment
9,10,Фета,1229,313,Молочные продукты,"Отличается высоким содержанием карнитина, необходимого для преобразования жиров в энергию.",2016-01-02,4.54,Delivered
10,11,Пакеты для путешествий,6035,76,Товары для дома,Помогает предотвратить дефицит витаминов и минералов в организме.,2014-06-21,2.11,Delivered
11,12,Молоко,9258,729,Молочные продукты,"Помогает поддерживать нормальный уровень зеаксантина, каротиноида, важного для здоровья глаз.",2007-08-10,4.82,Returned
12,13,Ивантеевская,7531,46,Напитки,"Помогает поддерживать нормальный уровень ацетилхолина, нейромедиатора, ответственного за память и обучение.",2021-02-02,1.03,Refunded
13,14,Пармезан,5391,365,Молочные продукты,"Помогает поддерживать нормальный уровень гистамина, важного для иммунной системы.",2003-06-19,4.07,Refunded
14,15,Грейпфрут,6380,524,Фрукты,"Помогает поддерживать нормальный уровень гамма-аминомасляной кислоты (GABA), успокаивающего нейромедиатора.",2001-05-04,2.76,Available for Pickup
16,17,Каша из дробленной перловой крупы,1510,833,Бакалея,"Отличается высоким содержанием таурина, необходимого для здоровья глаз и сердца.",2029-02-04,3.66,Backorder
17,18,Пакеты для охоты,5760,249,Товары для дома,"Помогает поддерживать нормальный уровень эндорфинов, гормонов радости и удовольствия.",2026-03-02,3.91,Refunded
18,19,Термосы,7329,936,Товары для дома,"Отличается высоким содержанием астаксантина, мощного антиоксиданта, полезного для кожи и суставов.",2019-02-02,2.94,Awaiting Payment
19,20,Мак семена,7447,320,Бакалея,"Отличается высоким содержанием капсаицина, вещества, ускоряющего метаболизм и уменьшающего боль.",2021-01-04,3.01,On Backorder
20,21,Лимон,5247,969,Фрукты,Отличается хорошей совместимостью с другими продуктами питания.,2014-04-17,1.75,Available for Pickup
21,22,Марьинская,9892,385,Напитки,"Отличается разнообразием вкусов и текстур, что позволяет каждому найти свой любимый продукт.",2007-01-13,2.92,Delivered
22,23,Пакеты для школы,6915,497,Товары для дома,"Отличается высоким содержанием бета-каротина, необходимого для здоровья глаз и кожи.",1999-05-05,1.76,Shipping
23,24,Робот-пылесос,8347,219,Товары для дома,Помогает поддерживать нормальный уровень сахара в крови.,2021-02-04,0.08,Temporarily Unavailable
24,25,Гранат,3004,331,Фрукты,"Помогает поддерживать нормальный уровень кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2030-10-01,2.66,Awaiting Payment
25,26,Сметана,9659,252,Молочные продукты,Отличается хорошим сочетанием с различными специями и приправами.,2008-01-15,4.5,Temporarily Unavailable
26,27,Шелковица,1350,869,Фрукты,"Помогает поддерживать нормальный уровень кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",2021-06-17,0.01,On Backorder
27,28,Морковь,1522,629,Овощи,Может использоваться в детском питании начиная с раннего возраста.,2025-02-16,1.24,Sold
28,29,Ессентуки,7214,137,Напитки,"Отличается высоким содержанием капсаицина, вещества, ускоряющего метаболизм и уменьшающего боль.",2020-02-01,3.15,Shipping
29,30,Скалки,2467,512,Товары для дома,Прошел все необходимые сертификации и соответствует международным стандартам.,1998-03-07,2.01,Shipping
30,31,Чеддер,6014,896,Молочные продукты,"Отличается низким содержанием натрия, что делает его безопасным для гипертоников.",2021-06-08,3.83,Out of Stock
31,32,Гауда,4002,584,Молочные продукты,Помогает поддерживать нормальный уровень мочевой кислоты в организме.,2026-07-12,2.09,On Backorder
32,33,Шпинат,4709,490,Овощи,"Помогает поддерживать нормальный уровень кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",2020-02-02,0.6,Temporarily Unavailable
33,34,Дезодорант,3261,458,Товары для дома,Является важным компонентом рациона для поддержания гормонального баланса.,2022-07-09,3.26,Shipping
34,35,Лук-порей,6628,280,Овощи,"Обладает мягким вкусом, который нравится многим потребителям.",2029-08-01,0.92,Cancelled
35,36,Морковь,9597,985,Овощи,Помогает поддерживать оптимальный вес и форму тела.,2020-04-03,3.01,Cancelled
36,37,Пакеты для свадьбы,2951,611,Товары для дома,"Помогает поддерживать нормальный уровень апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2027-05-13,0.29,Awaiting Review
37,38,Чечевица,8463,807,Овощи,"Помогает поддерживать нормальный уровень дофамина, гормона, отвечающего за мотивацию и удовольствие.",2014-02-12,4.25,In Stock
38,39,Фарш куриный,4899,611,Мясо,"Отличается высоким содержанием ресвератрола, вещества, обладающего антивозрастными свойствами.",2010-03-02,2.14,On Backorder
39,40,Электрочайник,937,183,Товары для дома,"Отличается высоким содержанием генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",2013-08-06,1.66,Awaiting Payment
40,41,Огурец,8921,402,Овощи,Помогает улучшить когнитивные функции и память.,2030-04-13,1.73,Delivered
41,42,Черника,5311,822,Фрукты,"Отличается высоким содержанием генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",2030-03-08,4.86,In Stock
42,43,Банан,2881,154,Фрукты,Широко используется в традиционной и современной кухне.,2009-11-04,3.33,Awaiting Payment
43,44,Салфетки влажные,5264,686,Товары для дома,Помогает поддерживать нормальный уровень гормонов в организме.,2014-01-03,4.93,Awaiting Review
44,45,Тан,4310,75,Молочные продукты,"Отличается высоким содержанием мирицетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2027-01-09,1.87,Refunded
45,46,Чечевица,3495,184,Овощи,"Имеет длительный срок хранения, что позволяет всегда иметь его под рукой.",1999-03-02,1.67,Awaiting Review
46,47,Смоленская,7583,102,Напитки,"Отличается высоким содержанием инозитола, необходимого для здоровья нервной системы.",2029-01-09,2.33,Temporarily Unavailable
47,48,Клубника,467,400,Фрукты,"Отличается высоким содержанием катехинов, мощных антиоксидантов, полезных для сердца и сосудов.",2004-09-03,2.5,Cancelled
48,49,Рулька,6377,97,Мясо,Помогает сохранять бодрость и активность в течение дня.,2023-09-20,1.36,Delivered
49,50,Смородина,810,784,Фрукты,Помогает поддерживать оптимальный вес и форму тела.,2016-01-14,3.3,Backorder
50,51,Российский сыр,1566,929,Молочные продукты,Помогает улучшить когнитивные функции и память.,2018-02-01,1.13,Awaiting Review
51,52,Редис,3977,168,Овощи,"Помогает поддерживать нормальный уровень серотонина, гормона счастья.",2024-05-03,4.3,Awaiting Payment
52,53,Конина,9609,662,Мясо,"Отличается высоким содержанием глютамина, необходимого для восстановления мышц после физических нагрузок.",2019-03-04,2.26,Refunded
