,Product ID (#),Name,$ Price:,Quantity,Category,Description,Production Date (DD/MM/YYYY),Expiration Date (DD/MM/YYYY),Rating:,Status
0,1,Ростовская,8662,995,Напитки,Может быть использован в качестве заменителя менее полезных продуктов.,1995-04-16,2022-02-03,0.1,Refunded
1,2,Говядина,2285,561,Мясо,Служит основой для создания множества кулинарных шедевров.,1992-01-07,1997-01-12,4.53,In Stock
2,3,Пакеты для Дня учителя,4341,245,Товары для дома,"Отличается устойчивостью к температурным изменениям, что облегчает хранение.",2016-04-06,2018-10-09,0.7,New
3,4,Лавровый лист сушеный,1527,284,Бакалея,Помогает поддерживать здоровье глаз и зрение благодаря содержанию витамина A.,1995-02-04,1996-05-03,0.22,Shipping
4,5,Пастила,823,533,Бакалея,Отличается высокой степенью очистки и отсутствия посторонних примесей.,2003-02-09,2027-08-01,3.09,On Backorder
5,6,Отбивная,530,909,Мясо,Отличается высокой питательной ценностью и помогает поддерживать здоровый образ жизни.,2006-03-26,2017-06-01,2.02,On Backorder
6,7,Ямс,4185,582,Овощи,"Помогает поддерживать нормальный уровень лептина, гормона насыщения.",2016-04-27,2016-05-05,3.16,Shipping
7,8,Тартар,8624,928,Мясо,Способствует укреплению иммунной системы благодаря содержанию пробиотиков.,2010-05-01,2021-04-01,2.02,Pending
8,9,Пледы,1571,621,Товары для дома,Служит основой для создания множества кулинарных шедевров.,1997-08-01,2018-08-01,3.06,In Stock
9,10,Шаверма,9398,982,Мясо,Способствует улучшению работы пищеварительной системы.,1998-01-12,2005-01-14,2.95,Returned
10,11,Уральская,1719,895,Напитки,"Помогает поддерживать нормальный уровень лептина, гормона насыщения.",2018-02-11,2019-02-06,3.32,Awaiting Review
11,12,Vittel,2415,306,Напитки,"Отличается высоким содержанием пребиотиков, способствующих здоровью кишечника.",1994-02-10,2011-02-15,2.7,On Backorder
12,13,Молоко,486,690,Молочные продукты,Прошел тестирование на отсутствие ГМО и вредных химических соединений.,2015-01-03,2026-03-14,3.81,Cancelled
13,14,Королевская,2472,855,Напитки,"Отличается высоким содержанием фосфора, необходимого для здоровья зубов и костей.",2009-03-14,2026-02-08,0.88,On Backorder
14,15,Старый источник,1978,510,Напитки,Помогает укреплять стенки сосудов и улучшать кровообращение.,1992-04-04,1996-05-02,0.18,On Backorder
15,16,Йогурт,8355,423,Молочные продукты,Может быть использован в качестве заменителя менее полезных продуктов.,2001-01-07,2017-07-21,3.07,Out of Stock
16,17,Кетчуп,1442,533,Бакалея,Помогает поддерживать нормальный уровень электролитов в организме.,2017-02-03,2019-04-04,2.1,Pending
17,18,Биточки,4164,917,Мясо,Отличается высокой степенью очистки и отсутствия посторонних примесей.,1996-01-07,2000-01-10,0.36,Pending
18,19,Тимьян сушеный,9948,609,Бакалея,"Отличается высоким содержанием витамина E, необходимого для защиты клеточных мембран.",2001-02-16,2016-01-16,0.33,Temporarily Unavailable
19,20,Фенхель,6278,879,Овощи,Помогает поддерживать нормальную функцию щитовидной железы благодаря содержанию йода.,1990-01-25,2011-05-20,3.33,Returned
20,21,Щавель,7441,48,Овощи,"Обладает антиоксидантными свойствами, защищающими клетки от повреждений.",2012-05-07,2020-05-03,1.03,Returned
21,22,Яблоко,2972,949,Фрукты,Отличается гипоаллергенностью и безопасностью для большинства людей.,2010-07-16,2014-02-08,3.89,Backorder
22,23,Верблюжье молоко,1339,289,Молочные продукты,"Богат кальцием, необходимым для укрепления костей и зубов.",2019-03-07,2028-03-04,0.41,Pending
23,24,Индюшатина,8081,206,Мясо,"Производится из высококачественного сырья, что гарантирует его безопасность и пользу для здоровья.",1995-01-12,2010-04-22,4.62,In Stock
24,25,Тульская,9959,306,Напитки,Служит основой для создания множества кулинарных шедевров.,1998-03-02,2006-03-16,1.25,New
25,26,Баклажан,798,829,Овощи,Отличается низкой калорийностью и высоким содержанием белка.,2017-08-12,2019-01-01,4.26,Available for Pickup
26,27,Сервелат,5332,17,Мясо,Часто рекомендуется врачами-диетологами как часть здорового питания.,2011-03-01,2025-01-01,0.71,New
27,28,Черешня,221,63,Фрукты,"Имеет длительный срок хранения, что позволяет всегда иметь его под рукой.",2003-01-26,2022-01-15,4.45,Shipping
28,29,Пакеты для растений,698,473,Товары для дома,Помогает регулировать уровень сахара в крови и предотвращать резкие скачки инсулина.,2017-09-09,2020-02-01,4.42,Available for Pickup
29,30,Блендер,955,770,Товары для дома,Прошел клинические испытания и рекомендован специалистами в области здравоохранения.,2015-04-06,2029-04-01,2.87,Out of Stock
30,31,Топлёное молоко,2758,845,Молочные продукты,Является важным компонентом рациона для поддержания гормонального баланса.,1991-02-09,2011-08-22,2.36,Awaiting Review
31,32,Косулятина,639,846,Мясо,Является важной составляющей рациона для поддержания общего здоровья и благополучия.,2011-05-05,2018-06-01,4.78,Awaiting Payment
32,33,Каша из камута,2313,994,Бакалея,"Помогает поддерживать нормальный уровень нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",2022-08-01,2024-06-04,2.97,Awaiting Review
33,34,Клубника,2679,418,Фрукты,"Подходит для приготовления как горячих, так и холодных блюд.",1994-07-09,2006-06-01,0.08,Cancelled
34,35,Зубная щетка,8692,541,Товары для дома,"Отличается высоким содержанием ликопина, каротиноида, полезного для здоровья простаты и кожи.",2007-01-16,2012-10-13,0.04,Pending
35,36,Лардон,1528,849,Мясо,"Помогает поддерживать нормальный уровень эритропоэтина, гормона, стимулирующего производство эритроцитов.",2015-01-01,2015-01-04,3.65,Returned
36,37,Сметана,5731,854,Молочные продукты,"Отличается высоким содержанием витамина E, необходимого для защиты клеточных мембран.",2000-07-05,2013-02-23,3.16,Delivered
37,38,Печень,6841,795,Мясо,"Помогает поддерживать нормальный уровень генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",2010-02-27,2015-01-18,3.69,Backorder
38,39,Розмарин сушеный,7478,687,Бакалея,"Отличается высоким содержанием холина, необходимого для здоровья мозга и памяти.",2016-02-02,2028-01-01,1.51,Cancelled
39,40,Банан,2997,181,Фрукты,"Отличается высоким содержанием рибофлавина, необходимого для здоровья кожи и зрения.",2020-05-20,2028-02-15,0.2,Cancelled
40,41,Куриные грудки,6706,829,Мясо,Помогает поддерживать нормальный уровень гемоглобина в крови.,2015-03-22,2029-01-03,1.91,In Stock
41,42,Моцарелла,9536,235,Молочные продукты,"Отличается высоким содержанием марганца, необходимого для здоровья костей и соединительных тканей.",2015-05-02,2017-07-03,3.3,Pending
42,43,Соус соевый,3204,955,Бакалея,Способствует нормализации обмена веществ в организме.,1999-06-17,2015-06-15,3.98,On Backorder
43,44,Помело,1995,213,Фрукты,Подходит для людей с различными пищевыми предпочтениями и аллергиями.,1998-03-06,2009-01-08,3.77,On Backorder
44,45,Грудинка,1777,946,Мясо,"Отличается высоким содержанием мирицетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",1995-03-15,2025-01-12,2.23,Out of Stock
45,46,Айва,9814,491,Фрукты,"Отличается высоким содержанием лютеолина, флавоноида, обладающего противовоспалительными свойствами.",2001-07-16,2011-02-05,3.92,Cancelled
46,47,Сыр,1977,306,Молочные продукты,"Отличается высоким содержанием таурина, необходимого для здоровья глаз и сердца.",1998-06-03,2005-03-07,3.01,Shipping
47,48,Каша из проса,1900,632,Бакалея,"Отличается высоким содержанием витамина E, необходимого для защиты клеточных мембран.",2016-02-07,2016-06-10,2.51,Returned
48,49,Ямс,3263,690,Овощи,Помогает поддерживать здоровье глаз и зрение благодаря содержанию витамина A.,2001-04-03,2016-02-19,4.08,In Stock
49,50,Черешня,7224,161,Фрукты,"Отличается высоким содержанием антиоксидантов, защищающих клетки от окислительного стресса.",2006-03-01,2019-06-17,0.89,Awaiting Payment
50,51,Черника,5454,267,Фрукты,"Отличается высоким содержанием хлорогеновых кислот, веществ, способствующих снижению веса и контролю уровня сахара в крови.",2017-10-09,2018-06-13,3.48,Out of Stock
51,52,Сулинка,8964,71,Напитки,"Отличается высоким содержанием кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",1992-01-13,2011-01-05,0.46,Delivered
52,53,Анис звездчатый,6738,187,Бакалея,Помогает поддерживать нормальный уровень эстрогенов у женщин.,2005-03-02,2018-02-01,3.54,New
53,54,Буузы,5232,562,Мясо,"Подходит для людей всех возрастов, включая детей и пожилых.",2014-10-02,2017-02-05,3.83,Shipping
54,55,Батат,6422,850,Овощи,Отличается легкостью в переваривании и усвоении организмом.,2019-08-11,2027-04-01,4.41,On Backorder
55,56,Лимон,4121,704,Фрукты,"Помогает поддерживать нормальный уровень генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",1997-01-02,2025-03-01,1.1,Returned
56,57,Миринда,6917,454,Напитки,Подходит для использования в диетических программах для похудения.,2018-01-11,2029-03-04,0.41,Shipping
57,58,Йогурт,8178,495,Молочные продукты,"Помогает поддерживать нормальный уровень сапонинов, веществ, способствующих снижению уровня холестерина.",2019-03-15,2019-08-18,2.78,Cancelled
58,59,Ямс,2977,328,Овощи,Отличается высокой питательностью и способен быстро утолить голод.,1998-07-15,2017-05-04,4.2,Available for Pickup
59,60,Верблюжье молоко,1224,852,Молочные продукты,"Является источником антиоксидантов, замедляющих процессы старения.",2012-03-09,2030-03-21,0.47,Out of Stock
60,61,Сбитень медовый,4444,889,Напитки,"Производится из высококачественного сырья, что гарантирует его безопасность и пользу для здоровья.",2012-02-03,2029-04-01,1.35,Shipping
61,62,Цветная капуста,2074,731,Овощи,Прошел независимые лабораторные исследования и получил положительные отзывы экспертов.,2020-07-05,2022-03-05,2.25,Pending
62,63,Клюква,6567,56,Фрукты,Отличается высокими показателями усвояемости организмом.,2013-04-01,2014-10-14,3.34,Awaiting Review
63,64,Пироги с мясом,4405,365,Мясо,Помогает сохранять бодрость и активность в течение дня.,1998-04-06,2023-02-25,1.32,Temporarily Unavailable
64,65,Адыгейский сыр,6686,32,Молочные продукты,"Отличается высоким содержанием инозитола, необходимого для здоровья нервной системы.",1999-06-15,2010-02-17,0.63,Temporarily Unavailable
65,66,Отбивная,1088,127,Мясо,"Помогает поддерживать нормальный уровень ацетилхолина, нейромедиатора, ответственного за память и обучение.",2021-01-26,2026-03-06,4.92,In Stock
66,67,Пакеты для дня рождения,4739,666,Товары для дома,"Помогает поддерживать нормальный уровень кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2002-03-03,2030-01-06,3.94,Returned
67,68,Хлебопечка,6425,622,Товары для дома,"Легко усваивается организмом, обеспечивая быстрое насыщение и энергию.",2012-06-14,2024-02-02,4.55,Awaiting Payment
68,69,Ножи столовые,3532,352,Товары для дома,"Отличается высоким содержанием фолиевой кислоты, необходимой для формирования новых клеток.",2021-02-06,2027-05-01,3.93,Sold
69,70,Сергиево-Посадская,8824,853,Напитки,Помогает поддерживать нормальный уровень триглицеридов в крови.,2019-04-02,2022-04-05,2.48,In Stock
70,71,Освежитель воздуха,5785,613,Товары для дома,"Подходит для приготовления как горячих, так и холодных блюд.",2005-01-25,2030-08-13,1.87,Refunded
71,72,Домашние колбасы,9676,458,Мясо,"Отличается высоким содержанием астаксантина, мощного антиоксиданта, полезного для кожи и суставов.",1996-09-02,2006-02-03,4.9,Refunded
72,73,Monster Energy,2767,513,Напитки,"Отличается высоким содержанием олигосахаридов, полезных для здоровья кишечника и иммунной системы.",2004-06-05,2013-03-09,0.14,Backorder
73,74,Пакеты для Дня благодарения,5465,95,Товары для дома,Помогает предотвратить развитие остеопороза благодаря высокому содержанию кальция.,2002-06-06,2028-02-12,4.41,Temporarily Unavailable
74,75,Малина,935,106,Фрукты,"Отличается высоким содержанием эллаговой кислоты, вещества, обладающего противораковыми свойствами.",2015-02-01,2023-01-04,2.67,Backorder
75,76,Пироги с мясом,3534,330,Мясо,Рекомендуется для ежедневного потребления в умеренных количествах.,2001-01-13,2030-01-08,4.77,Awaiting Payment
76,77,Штопоры,3019,660,Товары для дома,"Подходит для использования в диетах, направленных на снижение веса.",2000-05-05,2024-01-09,0.58,Sold
77,78,Кефир,8019,155,Молочные продукты,Может использоваться в косметических процедурах для увлажнения кожи.,1995-04-01,2011-05-04,2.31,Sold
78,79,Растительное масло кукурузное,9119,680,Бакалея,Помогает улучшить когнитивные функции и память.,1990-01-13,1990-05-01,4.73,Cancelled
79,80,Швабра,6400,136,Товары для дома,"Производится из высококачественного сырья, что гарантирует его безопасность и пользу для здоровья.",2016-05-04,2025-06-26,1.05,Cancelled
80,81,Манты,4197,573,Мясо,"Популярен среди спортсменов и людей, ведущих активный образ жизни.",2014-05-05,2028-04-12,4.92,Pending
81,82,Роллы с мясом,7632,313,Мясо,Придает блюдам особую нежность и насыщенность.,2000-06-04,2001-02-07,3.03,Awaiting Payment
82,83,Брынза,1004,314,Молочные продукты,Является неотъемлемой частью рациона многих народов мира.,2012-07-15,2025-01-07,2.87,Returned
83,84,Айва,3184,550,Фрукты,Помогает предотвратить дефицит витаминов и минералов в организме.,2008-04-08,2018-01-04,2.94,Awaiting Payment
