product_id,name,price,quantity,category,description,production_date,expiration_date,rating,status
1,Клубника,6796,859,Фрукты,"Отличается длительным сроком годности, что позволяет делать запасы.",2002-06-02,2020-03-15,0.95,New
2,Малина,9551,495,Фрукты,"Отличается высоким содержанием тиамина, необходимого для нормального функционирования нервной системы.",2011-03-03,2017-09-01,3.34,Out of Stock
3,Чечевица,7675,576,Овощи,Помогает поддерживать нормальный уровень электролитов в организме.,2015-01-01,2022-03-01,4.33,Out of Stock
4,Камамбер,293,298,Молочные продукты,"Помогает поддерживать нормальный уровень даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",2022-03-03,2027-03-14,4.53,Available for Pickup
5,Конопляные семена,2689,591,Бакалея,Помогает поддерживать мышечную массу и улучшает спортивные результаты.,2019-05-17,2027-05-10,1.98,Sold
6,Фольга алюминиевая,6497,986,Товары для дома,"Помогает поддерживать нормальный уровень кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2012-03-01,2026-07-02,2.98,Backorder
7,Яблоко,3168,183,Фрукты,"Помогает поддерживать нормальный уровень тиреоидных гормонов, регулирующих обмен веществ.",2022-01-08,2030-01-02,2.78,In Stock
8,Груша,5381,304,Фрукты,"Помогает поддерживать нормальный уровень цистеина, аминокислоты, участвующей в синтезе глутатиона.",2011-04-11,2027-03-13,4.86,Backorder
9,Простокваша,331,460,Молочные продукты,"Может использоваться как основа для приготовления домашних йогуртов, сыров и других молочных продуктов.",2019-06-07,2024-03-01,2.93,Awaiting Payment
10,Фета,1229,313,Молочные продукты,"Отличается высоким содержанием карнитина, необходимого для преобразования жиров в энергию.",2001-02-02,2016-01-02,4.54,Delivered
11,Пакеты для путешествий,6035,76,Товары для дома,Помогает предотвратить дефицит витаминов и минералов в организме.,2002-01-04,2014-06-21,2.11,Delivered
12,Молоко,9258,729,Молочные продукты,"Помогает поддерживать нормальный уровень зеаксантина, каротиноида, важного для здоровья глаз.",1999-02-03,2007-08-10,4.82,Returned
13,Ивантеевская,7531,46,Напитки,"Помогает поддерживать нормальный уровень ацетилхолина, нейромедиатора, ответственного за память и обучение.",2008-03-22,2021-02-02,1.03,Refunded
14,Пармезан,5391,365,Молочные продукты,"Помогает поддерживать нормальный уровень гистамина, важного для иммунной системы.",2003-03-10,2003-06-19,4.07,Refunded
15,Грейпфрут,6380,524,Фрукты,"Помогает поддерживать нормальный уровень гамма-аминомасляной кислоты (GABA), успокаивающего нейромедиатора.",1992-05-01,2001-05-04,2.76,Available for Pickup
16,Пена для бритья,1054,239,Товары для дома,"Помогает поддерживать нормальный уровень индолов, веществ, способных защищать от рака.",1991-02-02,2026-04-02,4.03,New
